product_id,warehouse,city,stock
M0027,WH2,Chicago,51
M0044,WH1,Phoenix,57
M0044,WH2,Chicago,47
M0044,WH4,Phoenix,82
M0084,WH2,Los Angeles,50
M0084,WH4,Houston,36
M0084,WH1,Houston,84
F0078,WH3,Los Angeles,42
E0084,WH3,Los Angeles,65
E0084,WH2,Chicago,30
E0053,WH2,Chicago,44
M0100,WH4,Houston,22
M0100,WH3,Los Angeles,34
M0100,WH2,Houston,5
M0108,WH3,Los Angeles,0
M0108,WH2,Houston,27
G0069,WH3,Los Angeles,37
M0054,WH4,Phoenix,93
M0054,WH1,Houston,76
F0065,WH4,Phoenix,62
F0065,WH1,Houston,10
F0065,WH3,Los Angeles,36
E0011,WH2,Los Angeles,62
E0011,WH1,Phoenix,54
G0107,WH4,Houston,91
G0107,WH1,Houston,15
G0107,WH2,Los Angeles,58
G0104,WH4,Houston,28
G0104,WH3,Los Angeles,69
E0098,WH3,Los Angeles,54
F0111,WH2,Chicago,40
F0111,WH1,Phoenix,4
F0111,WH4,Phoenix,55
G0034,WH1,Houston,6
G0034,WH4,Phoenix,76
E0097,WH4,Phoenix,49
F0026,WH4,Houston,47
F0123,WH2,Los Angeles,5
F0123,WH1,Phoenix,16
E0007,WH1,Phoenix,37
E0007,WH3,Los Angeles,84
E0007,WH2,Houston,2
G0015,WH4,Phoenix,78
G0015,WH1,Houston,16
F0066,WH4,Phoenix,98
F0066,WH1,Phoenix,62
M0085,WH4,Phoenix,24
M0085,WH1,Houston,38
M0125,WH4,Phoenix,34
G0056,WH2,Chicago,8
G0056,WH4,Phoenix,22
G0058,WH1,Phoenix,11
G0058,WH4,Houston,31
M0057,WH2,Los Angeles,50
M0057,WH1,Houston,76
E0042,WH3,Los Angeles,10
E0042,WH2,Houston,67
E0108,WH3,Los Angeles,86
F0045,WH4,Houston,3
F0045,WH2,Chicago,36
F0090,WH2,Los Angeles,66
F0090,WH4,Phoenix,25
M0096,WH1,Phoenix,45
M0096,WH4,Phoenix,41
F0053,WH4,Houston,75
F0053,WH1,Houston,66
G0099,WH3,Los Angeles,3
G0012,WH4,Houston,82
G0012,WH3,Los Angeles,96
G0012,WH2,Los Angeles,16
E0077,WH3,Los Angeles,56
E0077,WH2,Chicago,10
E0077,WH4,Houston,30
E0009,WH3,Los Angeles,30
G0025,WH3,Los Angeles,82
G0025,WH4,Houston,25
M0008,WH3,Los Angeles,99
M0008,WH2,Chicago,91
M0008,WH4,Phoenix,66
F0083,WH2,Los Angeles,35
F0083,WH1,Houston,25
F0083,WH3,Los Angeles,44
E0040,WH3,Los Angeles,25
F0097,WH1,Phoenix,8
F0097,WH4,Phoenix,35
F0097,WH2,Houston,36
E0066,WH2,Los Angeles,32
G0005,WH3,Los Angeles,66
M0036,WH1,Phoenix,83
M0036,WH4,Phoenix,1
M0036,WH2,Los Angeles,54
E0120,WH4,Houston,16
E0120,WH3,Los Angeles,69
E0120,WH1,Phoenix,50
M0003,WH4,Houston,13
F0034,WH4,Houston,86
F0034,WH2,Los Angeles,5
F0034,WH1,Houston,64
E0028,WH2,Houston,80
E0028,WH3,Los Angeles,65
E0028,WH4,Houston,82
E0063,WH3,Los Angeles,41
E0063,WH4,Houston,58
E0058,WH1,Houston,37
E0058,WH2,Chicago,40
E0058,WH3,Los Angeles,18
E0022,WH3,Los Angeles,15
F0095,WH1,Houston,64
F0095,WH3,Los Angeles,44
E0045,WH1,Houston,32
E0045,WH3,Los Angeles,78
M0115,WH4,Houston,40
M0115,WH3,Los Angeles,74
E0019,WH4,Phoenix,90
E0019,WH2,Los Angeles,83
E0019,WH3,Los Angeles,94
E0100,WH4,Houston,68
E0121,WH4,Phoenix,46
E0121,WH2,Houston,55
E0121,WH3,Los Angeles,36
M0012,WH2,Chicago,65
M0011,WH3,Los Angeles,55
M0011,WH1,Phoenix,2
G0046,WH1,Houston,28
G0046,WH4,Houston,58
F0018,WH3,Los Angeles,70
M0049,WH4,Phoenix,97
M0049,WH1,Houston,28
M0049,WH3,Los Angeles,15
E0035,WH4,Houston,3
M0031,WH1,Phoenix,34
M0031,WH3,Los Angeles,46
G0112,WH2,Los Angeles,7
G0112,WH4,Phoenix,34
F0085,WH3,Los Angeles,37
F0085,WH1,Houston,65
F0085,WH4,Phoenix,56
F0116,WH3,Los Angeles,81
F0116,WH2,Los Angeles,10
F0116,WH1,Phoenix,7
E0115,WH1,Houston,14
E0115,WH3,Los Angeles,55
E0115,WH4,Houston,38
G0018,WH4,Phoenix,51
G0018,WH3,Los Angeles,87
G0018,WH1,Houston,4
M0039,WH2,Los Angeles,90
M0039,WH3,Los Angeles,48
M0039,WH1,Phoenix,71
E0117,WH2,Chicago,9
E0105,WH2,Houston,67
E0105,WH3,Los Angeles,68
E0075,WH2,Los Angeles,11
E0075,WH1,Phoenix,77
E0075,WH4,Phoenix,81
G0065,WH1,Phoenix,82
G0065,WH2,Chicago,24
F0092,WH4,Houston,60
F0092,WH2,Houston,10
F0092,WH3,Los Angeles,21
E0119,WH1,Houston,47
E0054,WH4,Houston,32
E0054,WH1,Phoenix,59
G0122,WH3,Los Angeles,56
G0122,WH4,Houston,44
G0122,WH1,Phoenix,9
E0112,WH4,Houston,30
E0112,WH1,Houston,73
E0112,WH3,Los Angeles,17
E0052,WH2,Houston,71
E0052,WH1,Phoenix,7
E0052,WH4,Houston,47
F0039,WH4,Phoenix,91
F0039,WH3,Los Angeles,76
G0010,WH3,Los Angeles,40
G0010,WH1,Houston,76
M0086,WH2,Los Angeles,16
E0085,WH3,Los Angeles,70
E0085,WH4,Houston,33
E0085,WH1,Houston,49
G0027,WH2,Chicago,18
G0027,WH4,Phoenix,75
M0055,WH2,Los Angeles,82
M0055,WH1,Houston,82
M0055,WH4,Houston,10
G0121,WH3,Los Angeles,6
G0121,WH4,Phoenix,43
G0121,WH2,Los Angeles,63
G0054,WH1,Houston,26
G0054,WH4,Houston,59
G0087,WH1,Houston,35
M0104,WH3,Los Angeles,72
G0051,WH2,Chicago,29
M0073,WH1,Phoenix,19
M0073,WH3,Los Angeles,55
M0073,WH4,Houston,67
F0114,WH3,Los Angeles,57
F0114,WH2,Houston,70
F0114,WH1,Houston,65
M0019,WH4,Houston,37
M0105,WH2,Chicago,99
G0091,WH2,Chicago,50
G0066,WH4,Phoenix,17
G0084,WH4,Houston,1
G0084,WH3,Los Angeles,28
G0001,WH4,Houston,22
G0001,WH2,Houston,55
G0070,WH4,Phoenix,99
G0070,WH3,Los Angeles,79
G0070,WH2,Los Angeles,42
G0041,WH2,Chicago,68
G0041,WH4,Phoenix,48
G0041,WH3,Los Angeles,17
E0088,WH2,Los Angeles,40
E0088,WH3,Los Angeles,20
E0088,WH4,Phoenix,19
M0121,WH1,Houston,83
E0094,WH3,Los Angeles,23
E0094,WH2,Houston,94
E0094,WH4,Houston,63
G0090,WH3,Los Angeles,83
G0090,WH4,Phoenix,43
G0090,WH2,Chicago,20
M0058,WH1,Houston,16
M0058,WH2,Houston,91
M0058,WH3,Los Angeles,59
M0034,WH1,Houston,94
M0034,WH2,Los Angeles,0
M0034,WH4,Houston,5
F0043,WH4,Phoenix,18
F0043,WH3,Los Angeles,12
F0043,WH2,Houston,99
M0038,WH3,Los Angeles,36
F0014,WH2,Los Angeles,1
F0014,WH1,Phoenix,95
F0014,WH4,Houston,97
E0080,WH2,Houston,6
M0053,WH4,Phoenix,89
E0015,WH2,Los Angeles,49
E0015,WH4,Houston,0
M0089,WH4,Phoenix,63
M0089,WH1,Houston,52
M0120,WH3,Los Angeles,71
M0120,WH4,Phoenix,72
E0037,WH1,Houston,69
G0123,WH1,Phoenix,65
E0050,WH2,Houston,25
G0120,WH3,Los Angeles,54
G0120,WH1,Houston,2
F0056,WH3,Los Angeles,57
G0079,WH2,Chicago,81
G0079,WH4,Houston,5
G0118,WH1,Houston,51
G0118,WH2,Chicago,73
G0023,WH1,Phoenix,2
G0023,WH4,Phoenix,21
G0023,WH3,Los Angeles,3
M0020,WH1,Houston,31
M0020,WH3,Los Angeles,63
M0116,WH2,Los Angeles,41
M0116,WH1,Houston,16
M0116,WH3,Los Angeles,71
E0017,WH3,Los Angeles,15
E0017,WH4,Houston,15
M0063,WH1,Phoenix,27
M0063,WH2,Chicago,99
F0022,WH2,Houston,61
F0022,WH1,Houston,17
M0106,WH4,Phoenix,11
M0106,WH1,Houston,26
G0063,WH2,Chicago,79
G0063,WH1,Houston,11
G0020,WH2,Chicago,71
G0020,WH3,Los Angeles,2
G0020,WH4,Houston,63
M0030,WH1,Houston,44
M0030,WH3,Los Angeles,65
F0062,WH2,Houston,71
F0062,WH1,Houston,57
F0062,WH3,Los Angeles,17
F0044,WH4,Phoenix,74
G0053,WH3,Los Angeles,97
G0053,WH2,Los Angeles,1
M0109,WH4,Houston,88
M0109,WH2,Houston,68
M0109,WH1,Houston,65
G0111,WH2,Chicago,63
G0111,WH3,Los Angeles,71
M0046,WH3,Los Angeles,89
M0046,WH2,Chicago,48
M0046,WH4,Phoenix,32
E0049,WH3,Los Angeles,87
E0049,WH4,Phoenix,3
M0070,WH3,Los Angeles,10
M0070,WH4,Houston,38
G0035,WH1,Phoenix,22
G0035,WH4,Phoenix,31
F0061,WH1,Houston,84
F0061,WH3,Los Angeles,79
G0105,WH3,Los Angeles,92
G0105,WH1,Houston,72
G0068,WH4,Houston,80
G0068,WH2,Chicago,43
M0092,WH3,Los Angeles,33
M0092,WH2,Los Angeles,63
G0009,WH1,Phoenix,53
G0009,WH4,Phoenix,36
M0103,WH3,Los Angeles,59
E0012,WH1,Phoenix,1
E0012,WH3,Los Angeles,94
G0108,WH2,Houston,46
F0120,WH2,Chicago,30
F0001,WH4,Phoenix,13
F0001,WH3,Los Angeles,28
F0001,WH2,Los Angeles,49
M0016,WH3,Los Angeles,37
M0016,WH1,Phoenix,96
M0087,WH1,Houston,36
M0087,WH3,Los Angeles,74
M0087,WH2,Los Angeles,0
G0116,WH1,Houston,42
M0024,WH2,Houston,96
M0024,WH1,Houston,6
M0024,WH4,Phoenix,11
M0094,WH4,Houston,90
M0094,WH3,Los Angeles,11
M0009,WH3,Los Angeles,22
E0041,WH4,Phoenix,55
E0041,WH1,Houston,18
G0002,WH2,Houston,58
G0002,WH1,Houston,83
G0002,WH3,Los Angeles,3
M0119,WH2,Chicago,11
M0097,WH2,Chicago,1
G0095,WH4,Phoenix,13
G0095,WH3,Los Angeles,92
E0059,WH4,Phoenix,95
E0059,WH3,Los Angeles,58
E0059,WH1,Houston,90
F0060,WH2,Los Angeles,8
F0060,WH3,Los Angeles,6
G0029,WH1,Houston,88
G0029,WH4,Houston,92
G0029,WH3,Los Angeles,54
E0025,WH2,Houston,3
E0025,WH3,Los Angeles,77
E0025,WH4,Phoenix,80
M0074,WH3,Los Angeles,65
E0033,WH1,Houston,50
E0033,WH2,Houston,77
E0033,WH4,Houston,36
F0031,WH1,Phoenix,65
F0031,WH3,Los Angeles,95
E0001,WH2,Chicago,57
F0016,WH2,Houston,58
F0016,WH1,Houston,88
F0048,WH4,Houston,39
F0048,WH3,Los Angeles,67
M0017,WH1,Phoenix,78
M0017,WH2,Los Angeles,68
M0017,WH4,Houston,74
G0033,WH4,Houston,56
E0081,WH3,Los Angeles,76
G0077,WH4,Houston,21
G0077,WH1,Phoenix,87
G0077,WH3,Los Angeles,18
F0081,WH2,Los Angeles,53
F0081,WH4,Phoenix,45
G0045,WH3,Los Angeles,33
M0069,WH4,Phoenix,60
E0064,WH4,Houston,86
E0064,WH3,Los Angeles,27
E0064,WH1,Houston,25
G0101,WH2,Chicago,70
G0101,WH3,Los Angeles,22
E0032,WH4,Houston,67
E0036,WH1,Phoenix,67
E0036,WH2,Chicago,95
M0025,WH4,Houston,41
E0069,WH4,Phoenix,3
M0042,WH2,Los Angeles,35
M0042,WH1,Phoenix,21
M0068,WH3,Los Angeles,51
G0003,WH1,Phoenix,45
G0003,WH2,Chicago,44
F0042,WH1,Phoenix,64
F0071,WH3,Los Angeles,85
F0071,WH4,Phoenix,45
F0071,WH1,Phoenix,76
M0064,WH2,Chicago,34
M0064,WH1,Houston,44
M0064,WH4,Houston,76
F0035,WH4,Houston,71
F0035,WH2,Chicago,82
G0050,WH1,Houston,31
M0056,WH3,Los Angeles,38
M0056,WH4,Houston,66
G0089,WH1,Houston,97
G0089,WH3,Los Angeles,28
G0080,WH4,Houston,73
G0080,WH1,Houston,67
G0080,WH3,Los Angeles,58
F0118,WH3,Los Angeles,27
F0118,WH1,Phoenix,30
M0050,WH1,Houston,36
M0050,WH3,Los Angeles,87
M0050,WH4,Phoenix,14
E0070,WH3,Los Angeles,24
E0070,WH4,Houston,45
E0070,WH2,Los Angeles,9
G0014,WH3,Los Angeles,50
M0076,WH2,Chicago,17
G0016,WH4,Houston,51
G0016,WH1,Houston,56
G0016,WH3,Los Angeles,8
E0021,WH1,Houston,55
E0021,WH3,Los Angeles,46
F0108,WH3,Los Angeles,55
F0108,WH1,Phoenix,96
F0108,WH4,Phoenix,11
M0099,WH2,Houston,11
M0099,WH1,Houston,89
F0121,WH2,Los Angeles,35
M0026,WH1,Houston,45
M0026,WH2,Los Angeles,60
G0039,WH1,Phoenix,65
M0093,WH4,Houston,99
M0093,WH1,Phoenix,56
M0093,WH3,Los Angeles,14
F0051,WH3,Los Angeles,81
F0051,WH2,Los Angeles,21
F0051,WH1,Houston,30
E0074,WH3,Los Angeles,15
E0074,WH4,Phoenix,58
E0074,WH2,Houston,12
M0079,WH3,Los Angeles,47
F0110,WH1,Phoenix,67
M0111,WH1,Houston,53
M0111,WH3,Los Angeles,65
G0032,WH1,Houston,52
E0004,WH1,Phoenix,99
E0004,WH3,Los Angeles,0
E0004,WH2,Chicago,92
E0065,WH1,Houston,72
E0065,WH3,Los Angeles,50
E0065,WH4,Phoenix,16
F0117,WH2,Chicago,48
F0117,WH1,Phoenix,9
G0082,WH4,Phoenix,33
G0082,WH3,Los Angeles,72
G0082,WH1,Houston,49
G0042,WH3,Los Angeles,5
G0042,WH2,Houston,99
G0042,WH4,Houston,11
E0091,WH1,Houston,0
M0098,WH3,Los Angeles,46
M0098,WH2,Los Angeles,49
M0098,WH1,Phoenix,41
F0105,WH2,Chicago,43
F0105,WH1,Houston,55
F0105,WH3,Los Angeles,43
G0030,WH1,Phoenix,78
F0064,WH4,Houston,26
F0064,WH2,Los Angeles,36
F0064,WH3,Los Angeles,27
F0100,WH4,Phoenix,18
F0100,WH2,Los Angeles,3
F0088,WH4,Phoenix,40
G0081,WH1,Phoenix,57
G0081,WH4,Phoenix,20
E0024,WH2,Houston,11
E0002,WH4,Houston,13
E0002,WH1,Phoenix,43
G0092,WH4,Houston,15
G0092,WH1,Houston,6
F0020,WH4,Houston,77
F0069,WH1,Phoenix,11
E0060,WH4,Houston,54
E0060,WH1,Phoenix,59
E0060,WH2,Chicago,79
M0010,WH3,Los Angeles,19
E0031,WH4,Phoenix,28
E0031,WH3,Los Angeles,3
M0029,WH1,Phoenix,32
M0029,WH4,Houston,95
M0029,WH2,Houston,39
E0010,WH3,Los Angeles,49
E0124,WH3,Los Angeles,79
E0124,WH4,Phoenix,79
E0124,WH1,Phoenix,48
E0103,WH2,Los Angeles,68
E0103,WH1,Houston,2
E0103,WH4,Phoenix,86
G0083,WH1,Houston,37
G0083,WH3,Los Angeles,55
E0043,WH4,Houston,9
F0024,WH3,Los Angeles,90
E0046,WH3,Los Angeles,64
E0046,WH1,Phoenix,32
E0113,WH1,Phoenix,83
E0113,WH2,Chicago,94
F0010,WH1,Houston,41
M0080,WH1,Houston,62
M0080,WH2,Los Angeles,98
M0080,WH4,Phoenix,41
M0102,WH1,Houston,50
M0102,WH3,Los Angeles,28
G0096,WH4,Houston,40
G0096,WH3,Los Angeles,60
M0013,WH2,Los Angeles,77
M0013,WH3,Los Angeles,37
M0013,WH1,Houston,53
M0122,WH4,Phoenix,13
M0122,WH3,Los Angeles,81
M0022,WH1,Houston,86
E0110,WH4,Houston,78
E0110,WH2,Houston,9
M0048,WH3,Los Angeles,63
M0048,WH1,Phoenix,7
M0048,WH2,Houston,12
G0124,WH1,Houston,1
E0047,WH3,Los Angeles,69
E0047,WH2,Los Angeles,44
M0041,WH2,Houston,48
M0041,WH3,Los Angeles,20
M0005,WH4,Houston,26
M0005,WH2,Chicago,70
M0005,WH1,Phoenix,40
M0078,WH4,Phoenix,68
G0078,WH2,Houston,56
G0078,WH4,Houston,70
G0078,WH1,Houston,94
F0033,WH4,Houston,39
F0093,WH1,Houston,36
F0093,WH3,Los Angeles,55
F0093,WH2,Los Angeles,54
M0066,WH3,Los Angeles,46
E0006,WH2,Houston,60
E0006,WH1,Houston,7
F0046,WH4,Houston,80
F0046,WH1,Houston,12
F0046,WH3,Los Angeles,67
M0107,WH2,Houston,47
M0107,WH3,Los Angeles,60
E0048,WH2,Los Angeles,25
E0023,WH1,Phoenix,7
M0113,WH2,Los Angeles,69
G0125,WH4,Houston,23
G0125,WH3,Los Angeles,72
G0125,WH1,Phoenix,10
M0065,WH2,Los Angeles,92
M0065,WH3,Los Angeles,49
M0065,WH4,Phoenix,23
M0075,WH4,Houston,58
M0014,WH2,Houston,17
M0014,WH1,Houston,84
M0014,WH4,Houston,77
G0074,WH1,Houston,28
G0074,WH4,Houston,27
M0051,WH3,Los Angeles,4
F0011,WH3,Los Angeles,51
F0011,WH4,Phoenix,36
F0011,WH1,Phoenix,40
F0036,WH2,Houston,70
F0125,WH4,Houston,49
F0125,WH1,Phoenix,82
F0125,WH3,Los Angeles,27
G0044,WH4,Phoenix,83
G0044,WH2,Los Angeles,68
G0052,WH4,Houston,66
G0052,WH1,Houston,35
G0052,WH3,Los Angeles,70
F0084,WH1,Houston,3
E0102,WH3,Los Angeles,57
E0102,WH1,Houston,17
E0102,WH4,Houston,66
G0013,WH4,Houston,8
M0118,WH2,Los Angeles,70
M0118,WH1,Phoenix,47
M0118,WH4,Houston,83
F0089,WH2,Houston,33
E0114,WH3,Los Angeles,0
E0038,WH2,Los Angeles,14
E0038,WH1,Phoenix,22
E0008,WH4,Phoenix,8
M0043,WH3,Los Angeles,71
M0043,WH1,Houston,33
F0057,WH3,Los Angeles,91
G0040,WH1,Houston,60
G0040,WH3,Los Angeles,3
F0047,WH3,Los Angeles,30
F0047,WH2,Chicago,50
F0124,WH1,Houston,98
F0124,WH2,Chicago,76
G0115,WH1,Houston,20
G0115,WH2,Los Angeles,21
G0115,WH3,Los Angeles,20
G0064,WH4,Houston,51
G0064,WH1,Phoenix,70
G0064,WH2,Los Angeles,17
F0007,WH4,Houston,33
G0057,WH2,Los Angeles,0
G0021,WH4,Phoenix,54
G0021,WH2,Houston,87
G0021,WH3,Los Angeles,92
F0119,WH1,Phoenix,40
F0119,WH3,Los Angeles,2
F0119,WH4,Phoenix,58
E0027,WH3,Los Angeles,73
E0027,WH1,Houston,75
E0027,WH4,Houston,40
E0099,WH3,Los Angeles,77
G0075,WH3,Los Angeles,89
F0032,WH2,Houston,57
F0032,WH1,Houston,17
F0032,WH3,Los Angeles,79
M0028,WH1,Houston,97
E0089,WH4,Phoenix,40
F0008,WH4,Houston,74
F0008,WH2,Houston,48
F0008,WH1,Houston,15
E0111,WH1,Houston,10
E0111,WH3,Los Angeles,84
F0073,WH3,Los Angeles,41
F0080,WH2,Chicago,76
F0080,WH4,Phoenix,3
F0080,WH3,Los Angeles,45
G0071,WH4,Phoenix,34
F0099,WH2,Los Angeles,18
M0083,WH1,Phoenix,1
E0061,WH3,Los Angeles,76
E0061,WH1,Phoenix,84
E0044,WH3,Los Angeles,89
E0068,WH2,Chicago,36
E0068,WH1,Houston,28
E0068,WH4,Houston,36
F0023,WH3,Los Angeles,11
F0106,WH4,Houston,66
F0106,WH2,Los Angeles,58
F0106,WH1,Phoenix,12
E0082,WH3,Los Angeles,56
E0082,WH1,Houston,31
E0082,WH4,Houston,86
M0101,WH1,Houston,48
G0113,WH4,Houston,67
G0113,WH2,Chicago,4
G0113,WH3,Los Angeles,35
G0031,WH1,Phoenix,73
G0048,WH3,Los Angeles,20
G0048,WH1,Houston,41
G0048,WH4,Phoenix,45
M0052,WH3,Los Angeles,93
M0052,WH4,Phoenix,98
F0030,WH3,Los Angeles,83
F0030,WH4,Houston,22
G0086,WH4,Houston,70
G0086,WH2,Los Angeles,22
G0086,WH3,Los Angeles,7
E0122,WH3,Los Angeles,36
E0122,WH2,Los Angeles,45
G0094,WH4,Houston,94
G0024,WH3,Los Angeles,67
G0024,WH4,Phoenix,59
G0024,WH2,Los Angeles,35
F0025,WH3,Los Angeles,47
F0025,WH1,Houston,6
E0051,WH3,Los Angeles,84
E0051,WH1,Phoenix,91
E0076,WH1,Phoenix,60
E0076,WH2,Houston,89
E0076,WH3,Los Angeles,2
M0123,WH1,Phoenix,93
E0013,WH3,Los Angeles,19
E0013,WH2,Houston,56
F0003,WH2,Los Angeles,42
F0003,WH3,Los Angeles,45
F0094,WH4,Houston,85
M0071,WH4,Phoenix,99
F0098,WH4,Phoenix,38
F0098,WH1,Houston,85
M0047,WH2,Chicago,65
M0047,WH3,Los Angeles,98
M0047,WH4,Houston,72
G0073,WH4,Phoenix,20
G0073,WH1,Phoenix,66
G0062,WH3,Los Angeles,66
G0062,WH2,Chicago,29
G0062,WH4,Houston,70
G0059,WH3,Los Angeles,58
G0059,WH4,Phoenix,92
F0059,WH2,Houston,43
E0123,WH3,Los Angeles,36
E0123,WH2,Los Angeles,23
E0123,WH1,Phoenix,64
M0040,WH3,Los Angeles,37
M0040,WH4,Houston,40
E0125,WH2,Chicago,86
E0125,WH3,Los Angeles,30
E0125,WH1,Houston,28
M0110,WH4,Phoenix,60
G0085,WH2,Chicago,22
G0085,WH1,Phoenix,30
E0026,WH1,Houston,15
F0104,WH2,Houston,3
F0104,WH1,Houston,47
F0104,WH4,Phoenix,15
F0107,WH3,Los Angeles,68
F0107,WH4,Phoenix,64
F0107,WH2,Chicago,13
E0073,WH3,Los Angeles,78
E0073,WH4,Phoenix,24
E0073,WH1,Houston,65
G0119,WH1,Phoenix,14
G0119,WH2,Chicago,90
G0119,WH3,Los Angeles,66
M0015,WH2,Chicago,38
M0061,WH4,Phoenix,16
M0007,WH4,Houston,63
E0107,WH1,Houston,49
G0022,WH3,Los Angeles,50
E0078,WH1,Phoenix,90
E0079,WH1,Phoenix,51
E0079,WH3,Los Angeles,79
G0067,WH3,Los Angeles,48
E0118,WH3,Los Angeles,35
E0118,WH4,Phoenix,20
E0118,WH1,Houston,72
G0098,WH1,Houston,98
G0098,WH3,Los Angeles,14
G0098,WH2,Houston,93
M0037,WH2,Houston,84
G0100,WH2,Los Angeles,16
E0083,WH1,Houston,96
M0082,WH3,Los Angeles,34
M0082,WH2,Houston,44
M0082,WH1,Phoenix,41
F0103,WH1,Phoenix,56
F0103,WH2,Chicago,55
F0103,WH4,Houston,86
M0077,WH3,Los Angeles,80
F0012,WH3,Los Angeles,53
F0012,WH4,Phoenix,9
E0096,WH4,Houston,86
E0096,WH1,Houston,36
M0001,WH4,Phoenix,36
M0001,WH2,Los Angeles,1
F0021,WH1,Phoenix,0
G0038,WH3,Los Angeles,95
G0038,WH1,Houston,8
G0038,WH2,Houston,55
M0002,WH4,Phoenix,57
F0040,WH2,Chicago,85
F0040,WH4,Phoenix,46
F0040,WH3,Los Angeles,97
G0055,WH2,Los Angeles,95
F0101,WH2,Houston,26
F0101,WH3,Los Angeles,72
F0070,WH2,Los Angeles,93
F0070,WH4,Houston,81
F0070,WH1,Phoenix,21
F0027,WH4,Houston,94
F0027,WH1,Phoenix,35
F0041,WH4,Phoenix,39
F0041,WH2,Los Angeles,15
F0041,WH1,Houston,97
