order_id,user_id,product_id,order_date,quantity
O0112,U0411,E0038,2023-06-14,3
O0113,U0699,M0108,2023-08-06,2
O0114,U0922,M0116,2023-11-29,3
O0115,U0882,G0046,2023-01-19,1
O0116,U0876,G0119,2023-01-22,4
O0117,U0656,F0037,2023-02-09,2
O0118,U0713,G0120,2023-03-16,1
O0119,U0802,M0001,2023-04-17,4
O0120,U0516,M0085,2023-11-20,3
O0121,U0982,E0075,2023-12-12,2
O0122,U0224,M0096,2023-11-22,1
O0123,U0990,M0057,2023-02-28,3
O0124,U0355,M0054,2023-09-27,4
O0125,U0411,E0031,2023-02-25,2
O0126,U0148,E0100,2023-06-28,4
O0127,U0286,E0118,2023-10-08,4
O0128,U0322,M0116,2023-03-07,2
O0129,U0637,E0107,2023-09-06,4
O0130,U0428,G0070,2023-08-21,3
O0131,U0313,E0002,2023-06-19,1
O0132,U0115,F0028,2023-12-11,1
O0133,U0693,M0108,2023-12-04,4
O0134,U0391,M0059,2023-06-25,4
O0135,U0859,E0019,2023-10-26,4
O0136,U0677,F0005,2023-07-18,1
O0137,U0286,G0030,2023-02-24,3
O0138,U0971,M0099,2023-10-30,3
O0139,U0551,M0002,2023-01-29,2
O0140,U0554,E0091,2023-02-17,1
O0141,U0507,G0001,2023-07-21,3
O0142,U0747,G0069,2023-06-12,1
O0143,U0773,G0065,2023-03-07,2
O0144,U0151,E0065,2023-06-21,4
O0145,U0284,E0018,2023-01-07,2
O0146,U0821,E0010,2023-03-27,1
O0147,U0847,G0102,2023-09-14,3
O0148,U0932,F0041,2023-02-02,4
O0149,U0835,E0029,2023-12-13,4
O0150,U0491,G0042,2023-03-11,2
O0151,U0970,G0096,2023-12-30,3
O0152,U0316,E0052,2023-01-24,1
O0153,U0961,E0001,2023-11-29,3
O0154,U0216,F0124,2023-06-08,4
O0155,U0910,M0098,2023-01-18,4
O0156,U0102,G0040,2023-08-19,1
O0157,U0946,M0097,2023-08-05,4
O0158,U0022,F0124,2023-02-28,4
O0159,U0596,M0043,2023-08-23,3
O0160,U0807,G0043,2023-01-18,1
O0161,U0490,M0121,2023-03-12,2
O0162,U0373,G0101,2023-12-16,4
O0163,U0360,E0021,2023-11-13,4
O0164,U0760,G0078,2023-01-25,4
O0165,U0104,G0015,2023-04-24,3
O0166,U0598,E0088,2023-07-10,3
O0167,U0001,M0052,2023-08-17,2
O0168,U0213,F0098,2023-07-25,1
O0169,U0889,F0088,2023-09-07,1
O0170,U0596,G0055,2023-04-21,1
O0171,U0850,F0024,2023-05-24,2
O0172,U0261,M0029,2023-06-13,1
O0173,U0656,E0060,2023-08-21,3
O0174,U0182,G0028,2023-10-23,3
O0175,U0836,G0041,2023-07-13,2
O0176,U0924,G0120,2023-11-29,4
O0177,U0321,G0005,2023-08-11,4
O0178,U0495,F0106,2023-07-03,4
O0179,U0461,M0039,2023-08-08,4
O0180,U0244,M0046,2023-05-26,4
O0181,U0421,F0038,2023-05-15,2
O0182,U0855,M0044,2023-05-15,1
O0183,U0876,E0029,2023-07-13,3
O0184,U0754,M0009,2023-01-04,1
O0185,U0165,E0122,2023-06-15,2
O0186,U0941,G0093,2023-01-17,4
O0187,U0741,M0072,2023-01-31,1
O0188,U0618,M0071,2023-07-26,3
O0189,U0776,F0032,2023-04-11,4
O0190,U0551,M0028,2023-08-29,1
O0191,U0505,G0001,2023-06-22,2
O0192,U0360,G0042,2023-12-25,1
O0193,U0577,F0025,2023-01-21,4
O0194,U0788,G0114,2023-04-07,3
O0195,U0904,M0035,2023-11-29,3
O0196,U0466,M0069,2023-12-15,4
O0197,U0951,F0001,2023-04-02,3
O0198,U0987,F0016,2023-07-03,2
O0199,U0089,G0020,2023-01-15,1
O0200,U0426,F0013,2023-02-18,4
O0201,U0471,F0104,2023-01-26,3
O0202,U0283,F0016,2023-12-15,4
O0203,U0999,M0066,2023-12-17,4
O0204,U0608,F0099,2023-02-20,1
O0205,U0026,E0084,2023-05-09,2
O0206,U0503,F0034,2023-06-17,1
O0207,U0308,G0122,2023-12-22,1
O0208,U0991,E0120,2023-03-20,2
O0209,U0444,F0040,2023-01-19,3
O0210,U0137,F0054,2023-07-26,4
O0211,U0864,G0121,2023-08-28,2
O0212,U0750,E0118,2023-08-24,1
O0213,U0103,F0043,2023-11-07,3
O0214,U0447,M0086,2023-06-03,3
O0215,U0246,G0026,2023-05-11,2
O0216,U0170,G0068,2023-04-05,4
O0217,U0558,M0095,2023-06-20,2
O0218,U0126,G0053,2023-08-09,4
O0219,U0502,E0079,2023-11-20,4
O0220,U0084,M0035,2023-06-07,1
O0221,U0272,M0103,2023-06-03,1
O0222,U0655,E0041,2023-04-25,1
O0223,U0172,M0068,2023-05-02,3
O0224,U0932,E0039,2023-11-25,1
O0225,U0199,G0021,2023-03-18,3
O0226,U0969,E0035,2023-07-16,1
O0227,U0660,E0042,2023-01-08,4
O0228,U0308,E0047,2023-09-26,3
O0229,U0040,M0002,2023-09-21,1
O0230,U0744,E0055,2023-05-29,4
O0231,U0518,E0093,2023-06-27,1
O0232,U0129,E0109,2023-12-02,3
O0233,U0811,G0044,2023-09-06,2
O0234,U0142,G0087,2023-06-07,2
O0235,U0147,M0093,2023-06-03,4
O0236,U0845,G0032,2023-10-31,4
O0237,U0668,E0093,2023-03-29,3
O0238,U0613,F0085,2023-03-19,4
O0239,U0839,E0054,2023-08-16,3
O0240,U0836,M0031,2023-07-19,2
O0241,U0599,E0020,2023-05-18,4
O0242,U0695,E0001,2023-07-21,3
O0243,U0276,E0085,2023-01-29,1
O0244,U0206,E0111,2023-06-11,1
O0245,U0567,E0071,2023-05-05,4
O0246,U0727,F0093,2023-12-30,2
O0247,U0164,G0114,2023-09-06,1
O0248,U0311,F0019,2023-01-21,2
O0249,U0597,F0123,2023-12-10,3
O0250,U0613,E0014,2023-09-20,1
O0251,U0295,F0022,2023-09-07,2
O0252,U0018,M0026,2023-02-02,2
O0253,U0152,E0124,2023-04-05,3
O0254,U0982,G0104,2023-09-06,3
O0255,U0698,F0005,2023-02-01,3
O0256,U0688,G0124,2023-11-29,4
O0257,U0001,M0001,2023-11-22,4
O0258,U0811,G0018,2023-03-27,4
O0259,U0894,E0037,2023-01-04,2
O0260,U0116,M0068,2023-01-21,1
O0261,U0750,F0078,2023-09-20,1
O0262,U0347,F0039,2023-12-06,2
O0263,U0914,G0107,2023-10-17,1
O0264,U0527,F0078,2023-05-05,3
O0265,U0738,E0055,2023-07-05,2
O0266,U0564,G0016,2023-09-28,2
O0267,U0742,G0079,2023-08-03,3
O0268,U0347,F0041,2023-09-22,2
O0269,U0196,F0038,2023-10-19,4
O0270,U0061,F0099,2023-04-05,2
O0271,U0048,M0075,2023-03-09,2
O0272,U0732,G0068,2023-09-11,1
O0273,U0854,M0110,2023-11-27,4
O0274,U0656,G0089,2023-11-04,2
O0275,U0170,F0019,2023-11-17,4
O0276,U0654,M0042,2023-11-28,2
O0277,U0908,M0054,2023-08-23,4
O0278,U0298,E0051,2023-04-25,1
O0279,U0676,F0060,2023-11-18,2
O0280,U0842,E0043,2023-01-14,2
O0281,U0347,M0002,2023-02-11,1
O0282,U0187,G0078,2023-01-19,2
O0283,U0110,F0065,2023-11-06,1
O0284,U0070,F0051,2023-03-26,3
O0285,U0707,F0097,2023-11-20,1
O0286,U0658,F0107,2023-05-03,2
O0287,U0590,E0071,2023-04-10,3
O0288,U0914,F0025,2023-07-23,2
O0289,U0319,E0106,2023-07-16,4
O0290,U0679,F0125,2023-05-13,3
O0291,U0169,M0076,2023-04-03,2
O0292,U0952,G0065,2023-07-27,2
O0293,U0205,G0016,2023-05-14,2
O0294,U0755,G0086,2023-07-10,3
O0295,U0971,G0023,2023-11-15,3
O0296,U0739,G0023,2023-11-03,2
O0297,U0677,E0115,2023-12-26,3
O0298,U0928,M0120,2023-06-29,3
O0299,U0704,E0107,2023-03-11,3
O0300,U0922,G0039,2023-02-28,1
O0301,U0012,G0095,2023-04-05,1
O0302,U0876,F0026,2023-06-24,2
O0303,U0036,G0120,2023-12-17,3
O0304,U0889,G0040,2023-12-15,3
O0305,U0554,E0053,2023-01-28,2
O0306,U0189,F0007,2023-11-07,3
O0307,U0593,F0101,2023-05-14,1
O0308,U0685,F0067,2023-02-20,3
O0309,U0228,G0036,2023-10-08,3
O0310,U0167,F0016,2023-03-24,1
O0311,U0940,M0102,2023-09-25,1
O0312,U0416,G0069,2023-01-17,1
O0313,U0076,F0023,2023-01-10,3
O0314,U0888,F0093,2023-09-30,2
O0315,U0821,G0061,2023-08-06,1
O0316,U0589,M0124,2023-07-19,4
O0317,U0474,F0104,2023-08-04,4
O0318,U0315,E0122,2023-02-04,1
O0319,U0011,G0041,2023-01-13,2
O0320,U0492,E0102,2023-01-01,3
O0321,U0144,F0087,2023-12-25,2
O0322,U0479,E0070,2023-11-08,4
O0323,U0274,G0003,2023-01-12,1
O0324,U0479,F0117,2023-04-22,3
O0325,U0930,E0081,2023-09-25,1
O0326,U0199,E0110,2023-02-27,1
O0327,U0359,E0070,2023-02-04,3
O0328,U0994,E0059,2023-01-25,2
O0329,U0039,M0068,2023-12-01,2
O0330,U0507,E0122,2023-06-29,3
O0331,U0569,G0027,2023-03-12,1
O0332,U0509,F0045,2023-09-13,2
O0333,U0574,G0030,2023-11-05,3
O0334,U0678,M0100,2023-03-27,2
O0335,U0831,F0026,2023-04-24,4
O0336,U0893,E0013,2023-11-14,2
O0337,U0266,F0062,2023-10-20,1
O0338,U0318,M0052,2023-10-18,4
O0339,U0953,E0041,2023-10-01,2
O0340,U0165,E0107,2023-06-03,4
O0341,U0960,M0093,2023-05-15,1
O0342,U0341,M0031,2023-02-25,2
O0343,U0104,M0117,2023-02-27,4
O0344,U0116,E0073,2023-04-18,3
O0345,U0294,E0011,2023-06-16,4
O0346,U0608,F0124,2023-10-31,1
O0347,U0895,F0073,2023-07-01,2
O0348,U0901,E0049,2023-01-29,2
O0349,U0742,F0046,2023-12-22,4
O0350,U0220,M0103,2023-07-03,3
O0351,U0522,E0075,2023-08-25,1
O0352,U0618,E0083,2023-09-22,3
O0353,U0694,M0074,2023-05-14,2
O0354,U0089,F0018,2023-07-23,1
O0355,U0507,E0060,2023-01-13,4
O0356,U0170,F0066,2023-01-20,2
O0357,U0447,E0108,2023-03-29,1
O0358,U0026,F0042,2023-09-09,4
O0359,U0576,F0106,2023-06-17,2
O0360,U0798,F0069,2023-10-28,3
O0361,U0087,E0017,2023-05-08,2
O0362,U0682,E0030,2023-09-14,4
O0363,U0438,E0002,2023-08-31,3
O0364,U0275,E0022,2023-07-14,3
O0365,U0452,E0068,2023-03-23,2
O0366,U0432,M0013,2023-05-26,3
O0367,U0076,G0003,2023-12-09,3
O0368,U0207,G0058,2023-02-27,4
O0369,U0379,G0013,2023-11-04,3
O0370,U0993,E0082,2023-10-07,4
O0371,U0342,G0075,2023-04-04,1
O0372,U0226,G0038,2023-12-02,4
O0373,U0028,G0064,2023-03-03,2
O0374,U0639,M0100,2023-09-02,1
O0375,U0112,M0089,2023-07-08,3
O0376,U0852,M0054,2023-01-17,2
O0377,U0228,F0005,2023-08-06,3
O0378,U0542,G0100,2023-06-22,3
O0379,U0304,E0036,2023-08-06,1
O0380,U0277,E0020,2023-02-16,2
O0381,U0067,M0054,2023-11-23,2
O0382,U0545,F0003,2023-09-29,3
O0383,U0757,F0046,2023-03-15,4
O0384,U0734,F0108,2023-05-08,2
O0385,U0607,F0016,2023-02-10,1
O0386,U0103,G0110,2023-02-28,1
O0387,U0697,G0097,2023-03-21,2
O0388,U0279,G0108,2023-12-14,2
O0389,U0623,M0118,2023-12-03,2
O0390,U0385,F0120,2023-03-06,1
O0391,U0206,F0050,2023-10-13,1
O0392,U0476,M0091,2023-04-09,2
O0393,U0103,G0012,2023-02-11,3
O0394,U0611,E0059,2023-03-13,3
O0395,U0348,E0098,2023-02-14,4
O0396,U0248,G0044,2023-05-20,1
O0397,U0488,E0073,2023-04-02,2
O0398,U0113,E0108,2023-07-11,1
O0399,U0865,E0027,2023-06-28,2
O0400,U0769,E0099,2023-10-07,3
O0401,U0491,E0111,2023-09-22,4
O0402,U0577,E0094,2023-08-09,4
O0403,U0203,M0063,2023-11-21,1
O0404,U0289,M0058,2023-02-14,1
O0405,U0654,G0007,2023-08-19,1
O0406,U0326,M0039,2023-02-06,1
O0407,U0348,E0016,2023-02-07,3
O0408,U0935,M0030,2023-08-31,4
O0409,U0541,F0009,2023-08-03,3
O0410,U0550,M0057,2023-11-04,3
O0411,U0847,F0096,2023-09-13,3
O0412,U0820,E0118,2023-05-11,4
O0413,U0400,F0002,2023-04-21,2
O0414,U0419,G0118,2023-06-17,3
O0415,U0004,E0098,2023-06-09,4
O0416,U0171,G0035,2023-09-12,2
O0417,U0008,G0038,2023-01-08,1
O0418,U0622,F0091,2023-01-28,2
O0419,U0668,M0052,2023-08-16,4
O0420,U0995,E0012,2023-08-27,3
O0421,U0889,G0082,2023-09-02,1
O0422,U0233,E0065,2023-08-22,1
O0423,U0710,E0101,2023-08-13,2
O0424,U0773,E0105,2023-06-25,2
O0425,U0295,E0097,2023-03-23,3
O0426,U0569,E0015,2023-08-31,3
O0427,U0773,F0038,2023-02-25,3
O0428,U0461,M0013,2023-03-29,1
O0429,U0434,F0096,2023-08-03,1
O0430,U0364,M0088,2023-07-01,3
O0431,U0462,G0101,2023-11-05,3
O0432,U0934,G0051,2023-06-24,4
O0433,U0072,E0122,2023-11-07,1
O0434,U0201,F0122,2023-09-29,4
O0435,U0947,M0029,2023-07-11,4
O0436,U0634,F0045,2023-08-06,2
O0437,U0913,F0112,2023-10-30,1
O0438,U0310,M0029,2023-03-18,4
O0439,U0016,M0059,2023-06-13,1
O0440,U0232,F0043,2023-12-23,3
O0441,U0471,E0092,2023-03-17,4
O0442,U0249,E0071,2023-09-02,1
O0443,U0255,G0051,2023-09-14,4
O0444,U0445,E0053,2023-12-10,1
O0445,U0444,G0094,2023-09-16,4
O0446,U0205,M0065,2023-04-05,2
O0447,U0987,M0032,2023-09-03,1
O0448,U0124,M0050,2023-09-30,1
O0449,U0949,M0040,2023-05-05,1
O0450,U0228,G0047,2023-06-27,3
O0451,U0632,M0066,2023-06-19,3
O0452,U0045,F0048,2023-02-17,1
O0453,U0037,F0110,2023-12-04,3
O0454,U0608,M0059,2023-11-21,1
O0455,U0118,E0023,2023-03-03,3
O0456,U0990,F0052,2023-05-14,3
O0457,U0018,G0114,2023-01-08,1
O0458,U0351,E0073,2023-05-29,4
O0459,U0698,F0112,2023-05-23,1
O0460,U0628,F0017,2023-10-20,1
O0461,U0365,F0103,2023-04-02,1
O0462,U0265,G0078,2023-02-22,4
O0463,U0359,G0104,2023-12-19,4
O0464,U0608,F0062,2023-10-13,4
O0465,U0496,E0033,2023-01-07,4
O0466,U0362,M0124,2023-02-21,3
O0467,U0626,E0123,2023-08-09,4
O0468,U0774,F0089,2023-12-29,2
O0469,U0863,M0026,2023-01-14,2
O0470,U0667,M0124,2023-01-15,2
O0471,U0379,M0030,2023-01-27,3
O0472,U0059,F0097,2023-11-05,4
O0473,U0212,F0038,2023-06-30,1
O0474,U0759,E0046,2023-12-29,3
O0475,U0426,F0080,2023-09-17,1
O0476,U0425,F0109,2023-09-12,1
O0477,U0487,M0075,2023-02-10,2
O0478,U0656,F0030,2023-09-12,2
O0479,U0163,G0027,2023-07-17,3
O0480,U0503,G0074,2023-04-18,1
O0481,U0940,E0012,2023-06-05,2
O0482,U0393,E0007,2023-05-11,1
O0483,U0403,F0035,2023-02-18,1
O0484,U0041,M0080,2023-10-17,1
O0485,U0010,E0080,2023-09-16,3
O0486,U0953,G0089,2023-04-12,4
O0487,U0711,F0027,2023-10-28,3
O0488,U0221,G0041,2023-07-12,1
O0489,U0945,G0071,2023-03-06,3
O0490,U0955,F0117,2023-10-06,2
O0491,U0857,E0006,2023-08-05,4
O0492,U0266,E0068,2023-04-15,4
O0493,U0675,M0107,2023-05-28,1
O0494,U0712,M0125,2023-11-05,1
O0495,U0422,M0056,2023-11-10,3
O0496,U0302,M0054,2023-05-20,2
O0497,U0019,F0054,2023-09-28,2
O0498,U0327,F0042,2023-03-01,3
O0499,U0146,F0101,2023-09-16,3
O0500,U0372,G0028,2023-02-03,4
O0501,U0656,G0058,2023-11-12,2
O0502,U0153,E0086,2023-10-02,2
O0503,U0069,E0001,2023-10-05,1
O0504,U0277,E0088,2023-05-08,1
O0505,U0534,G0005,2023-05-08,3
O0506,U0567,E0051,2023-05-23,3
O0507,U0069,M0057,2023-09-08,4
O0508,U0900,M0119,2023-04-11,4
O0509,U0689,F0038,2023-04-08,4
O0510,U0197,E0103,2023-07-18,1
O0511,U0377,M0042,2023-05-20,1
O0512,U0941,M0023,2023-07-05,4
O0513,U0710,F0111,2023-08-14,2
O0514,U0169,E0115,2023-05-24,2
O0515,U0753,G0063,2023-02-04,3
O0516,U0185,G0023,2023-08-31,4
O0517,U0342,F0015,2023-06-15,1
O0518,U0520,M0125,2023-01-23,2
O0519,U0031,F0113,2023-01-28,2
O0520,U0857,E0080,2023-01-04,3
O0521,U0214,E0084,2023-05-15,3
O0522,U0783,M0014,2023-06-05,3
O0523,U0396,E0104,2023-09-26,1
O0524,U0603,M0077,2023-11-02,4
O0525,U0307,G0080,2023-01-22,2
O0526,U0063,G0019,2023-10-17,1
O0527,U0878,M0058,2023-10-23,1
O0528,U0604,F0085,2023-06-05,2
O0529,U0906,F0077,2023-03-31,3
O0530,U0298,F0048,2023-07-19,4
O0531,U0899,E0059,2023-12-14,1
O0532,U0679,M0008,2023-08-02,4
O0533,U0790,F0076,2023-04-01,4
O0534,U0224,M0085,2023-08-10,3
O0535,U0960,G0025,2023-08-14,4
O0536,U0039,E0109,2023-09-07,4
O0537,U0073,E0059,2023-12-28,3
O0538,U0641,F0112,2023-02-02,4
O0539,U0333,M0060,2023-06-14,4
O0540,U0873,M0014,2023-12-10,1
O0541,U0596,F0105,2023-12-30,1
O0542,U0192,M0070,2023-06-21,4
O0543,U0544,E0121,2023-09-01,4
O0544,U0676,M0020,2023-01-13,3
O0545,U0133,E0011,2023-09-13,4
O0546,U0294,M0079,2023-11-24,1
O0547,U0727,F0111,2023-10-11,2
O0548,U0590,F0017,2023-01-08,1
O0549,U0480,F0034,2023-10-18,3
O0550,U0202,F0071,2023-01-15,2
O0551,U0756,E0030,2023-11-16,1
O0552,U0883,E0107,2023-11-21,3
O0553,U0506,E0080,2023-12-05,2
O0554,U0795,E0092,2023-11-30,4
O0555,U0313,G0017,2023-03-08,4
O0556,U0416,M0063,2023-10-31,3
O0557,U0369,E0041,2023-01-21,2
O0558,U0233,M0105,2023-08-23,2
O0559,U0269,G0050,2023-06-14,1
O0560,U0368,F0025,2023-02-16,1
O0561,U0315,F0112,2023-02-28,2
O0562,U0906,E0014,2023-07-11,3
O0563,U0683,E0113,2023-05-24,2
O0564,U0853,F0065,2023-06-23,4
O0565,U0181,G0100,2023-12-28,2
O0566,U0035,F0095,2023-01-26,1
O0567,U0356,F0055,2023-10-30,4
O0568,U0526,E0045,2023-04-16,3
O0569,U0206,E0059,2023-12-18,2
O0570,U0174,M0081,2023-09-30,4
O0571,U0577,M0042,2023-08-12,4
O0572,U0118,E0104,2023-04-22,4
O0573,U0989,F0034,2023-07-29,1
O0574,U0038,F0045,2023-08-09,3
O0575,U0834,M0050,2023-12-30,3
O0576,U0371,G0071,2023-04-20,4
O0577,U0056,E0104,2023-01-14,1
O0578,U0704,F0023,2023-07-27,1
O0579,U0813,E0097,2023-03-12,3
O0580,U0733,F0043,2023-10-16,1
O0581,U0673,F0032,2023-01-07,4
O0582,U0161,F0015,2023-01-24,2
O0583,U0046,M0028,2023-08-04,4
O0584,U0716,E0002,2023-11-26,4
O0585,U0816,G0030,2023-02-14,1
O0586,U0131,M0016,2023-11-05,4
O0587,U0968,E0023,2023-07-03,3
O0588,U0791,M0048,2023-10-01,3
O0589,U0244,F0083,2023-11-29,1
O0590,U0165,G0083,2023-06-18,4
O0591,U0956,F0047,2023-05-05,1
O0592,U0467,G0113,2023-04-10,2
O0593,U0349,M0058,2023-10-01,2
O0594,U0075,F0091,2023-05-29,2
O0595,U0706,E0015,2023-12-08,1
O0596,U0802,F0039,2023-09-22,4
O0597,U0985,M0112,2023-04-29,1
O0598,U0976,M0094,2023-08-21,2
O0599,U0640,M0068,2023-09-07,2
O0600,U0494,M0112,2023-02-15,3
O0601,U0346,F0066,2023-11-15,4
O0602,U0003,E0034,2023-06-06,3
O0603,U0334,M0113,2023-11-28,3
O0604,U0756,G0086,2023-11-27,2
O0605,U0377,E0049,2023-11-11,3
O0606,U0835,E0124,2023-04-05,3
O0607,U0223,E0063,2023-04-19,2
O0608,U0532,G0099,2023-12-01,4
O0609,U0366,F0070,2023-08-18,2
O0610,U0409,M0087,2023-09-17,4
O0611,U0213,M0030,2023-04-05,4
O0612,U0358,F0082,2023-08-19,4
O0613,U0342,M0063,2023-12-27,4
O0614,U0563,G0066,2023-03-28,1
O0615,U0885,G0104,2023-05-21,2
O0616,U0967,E0111,2023-02-17,3
O0617,U0050,F0006,2023-10-12,4
O0618,U0090,E0055,2023-10-09,2
O0619,U0851,M0080,2023-12-26,4
O0620,U0181,M0039,2023-08-22,4
O0621,U0065,F0071,2023-04-05,1
O0622,U0484,E0071,2023-09-25,1
O0623,U0009,M0086,2023-08-28,1
O0624,U0060,M0122,2023-10-20,1
O0625,U0860,E0088,2023-09-07,3
O0626,U0432,M0039,2023-10-06,2
O0627,U0321,M0123,2023-05-21,4
O0628,U0749,G0095,2023-03-04,2
O0629,U0595,E0043,2023-09-11,4
O0630,U0028,G0014,2023-07-08,4
O0631,U0359,F0048,2023-08-16,4
O0632,U0317,M0082,2023-01-22,3
O0633,U0708,M0038,2023-06-28,2
O0634,U0084,E0038,2023-01-13,4
O0635,U0331,G0015,2023-11-14,1
O0636,U0230,E0004,2023-12-20,3
O0637,U0791,E0024,2023-03-09,2
O0638,U0793,M0085,2023-05-13,4
O0639,U0457,G0114,2023-12-09,2
O0640,U0508,M0059,2023-08-11,3
O0641,U0815,G0005,2023-09-07,1
O0642,U0951,G0058,2023-05-05,1
O0643,U0650,E0075,2023-09-04,4
O0644,U0098,F0119,2023-12-09,1
O0645,U0383,M0009,2023-09-28,1
O0646,U0545,F0107,2023-12-15,4
O0647,U0871,M0018,2023-04-10,4
O0648,U0732,E0117,2023-06-22,3
O0649,U0133,M0087,2023-07-27,2
O0650,U0008,F0105,2023-09-13,4
O0651,U0593,F0050,2023-03-19,3
O0652,U0543,F0080,2023-09-30,3
O0653,U0457,M0044,2023-05-12,3
O0654,U0521,G0124,2023-11-28,1
O0655,U0410,M0093,2023-06-17,1
O0656,U0800,F0086,2023-03-20,4
O0657,U0040,E0089,2023-05-01,3
O0658,U0359,M0108,2023-01-17,4
O0659,U0324,E0104,2023-11-11,1
O0660,U0105,M0008,2023-07-25,1
O0661,U0658,G0031,2023-09-26,2
O0662,U0981,G0023,2023-01-06,1
O0663,U0234,M0003,2023-05-18,3
O0664,U0947,G0047,2023-03-28,4
