product_id,name,category,sub_category,brand,price,size,color,material,gender,release_year,screen_size,memory,processor,os,camera,battery,type,dosage,condition,requires_prescription,side_effects,expiry_date,unit,quantity,organic,expiry_days
G0007,Dairy Item 7,Groceries,Dairy,,49.940853854967074,,,,,,,,,,,,,,,,,,kg,12.0,False,277.0
M0059,Medicine 59,Medicines,,,88.8095450365641,,,,,,,,,,,,Tablet,393 mg,Allergy,True,None,2026-01-27,,,,
M0081,Medicine 81,Medicines,,,22.06686570575748,,,,,,,,,,,,Tablet,144 mg,Pain Relief,False,Drowsiness,2026-09-24,,,,
F0075,Accessories Item 75,Fashion,Accessories,Gucci,134.7852452860813,XXL,Red,Cotton,Unisex,,,,,,,,,,,,,,,,,
F0122,Shirts Item 122,Fashion,Shirts,Under Armour,107.58687982256284,S,Black,Cotton,Unisex,,,,,,,,,,,,,,,,,
F0055,Shirts Item 55,Fashion,Shirts,Zara,126.7852332077185,M,White,Polyester,Men,,,,,,,,,,,,,,,,,
E0104,Lenovo Laptop,Electronics,,Lenovo,623.576874987439,,,,,2018.0,27.0,64.0,Snapdragon 888,macOS,,4354.0,,,,,,,,,,
G0102,Snacks Item 102,Groceries,Snacks,,23.432441695401124,,,,,,,,,,,,,,,,,,l,24.0,True,49.0
G0060,Vegetables Item 60,Groceries,Vegetables,,22.16851738758777,,,,,,,,,,,,,,,,,,g,24.0,False,87.0
M0045,Medicine 45,Medicines,,,9.12616893738556,,,,,,,,,,,,Capsule,422 mg,Heart Health,True,Drowsiness,2027-06-17,,,,
F0079,Shoes Item 79,Fashion,Shoes,Levi's,403.3217286146506,XXL,Yellow,Leather,Women,,,,,,,,,,,,,,,,,
G0004,Vegetables Item 4,Groceries,Vegetables,,44.802742022829534,,,,,,,,,,,,,,,,,,kg,6.0,True,21.0
F0002,Dresses Item 2,Fashion,Dresses,Levi's,114.46992638067618,XL,Green,Polyester,Men,,,,,,,,,,,,,,,,,
M0004,Medicine 4,Medicines,,,57.41035694161386,,,,,,,,,,,,Syrup,34 mg,Fever,True,Drowsiness,2027-08-23,,,,
E0034,Samsung Laptop,Electronics,,Samsung,689.5861159986404,,,,,2022.0,15.6,64.0,Intel i7,iOS,,2437.0,,,,,,,,,,
F0054,Shirts Item 54,Fashion,Shirts,Under Armour,281.55194899234766,XS,Red,Silk,Women,,,,,,,,,,,,,,,,,
F0006,Accessories Item 6,Fashion,Accessories,Levi's,246.73597632709473,S,Black,Polyester,Unisex,,,,,,,,,,,,,,,,,
E0020,Lenovo Gaming Console,Electronics,,Lenovo,118.83032143319193,,,,,2019.0,,,,,,,,,,,,,,,,
F0091,Pants Item 91,Fashion,Pants,Nike,362.8545534223234,L,Red,Leather,Unisex,,,,,,,,,,,,,,,,,
G0008,Dairy Item 8,Groceries,Dairy,,22.93004090019703,,,,,,,,,,,,,,,,,,kg,1.0,True,237.0
F0087,Shoes Item 87,Fashion,Shoes,Adidas,392.53421659705253,XS,Purple,Denim,Men,,,,,,,,,,,,,,,,,
F0009,Shirts Item 9,Fashion,Shirts,Adidas,408.6683185500044,L,Blue,Leather,Unisex,,,,,,,,,,,,,,,,,
G0103,Vegetables Item 103,Groceries,Vegetables,,6.070278118682648,,,,,,,,,,,,,,,,,,kg,500.0,False,132.0
F0052,Shirts Item 52,Fashion,Shirts,Gucci,468.7198903599883,XS,Green,Cotton,Women,,,,,,,,,,,,,,,,,
G0026,Beverages Item 26,Groceries,Beverages,,19.23013482279816,,,,,,,,,,,,,,,,,,g,6.0,False,38.0
G0019,Vegetables Item 19,Groceries,Vegetables,,42.740450366105506,,,,,,,,,,,,,,,,,,kg,12.0,True,279.0
E0018,Bose Laptop,Electronics,,Bose,1525.4955087658993,,,,,2018.0,32.0,128.0,Exynos 2100,iOS,,4160.0,,,,,,,,,,
E0055,Microsoft Tablet,Electronics,,Microsoft,1413.690509274989,,,,,2023.0,5.5,128.0,Snapdragon 888,Windows,16.0,4016.0,,,,,,,,,,
E0087,Samsung Laptop,Electronics,,Samsung,291.06919095854425,,,,,2022.0,6.1,512.0,Intel i5,Windows,,2881.0,,,,,,,,,,
F0017,Shirts Item 17,Fashion,Shirts,Adidas,302.8398955357612,XL,Black,Cotton,Unisex,,,,,,,,,,,,,,,,,
M0023,Medicine 23,Medicines,,,72.73635772686538,,,,,,,,,,,,Tablet,475 mg,Pain Relief,True,Drowsiness,2027-06-02,,,,
G0076,Meat Item 76,Groceries,Meat,,35.277178623160665,,,,,,,,,,,,,,,,,,pack,500.0,False,26.0
M0112,Medicine 112,Medicines,,,30.27203078923617,,,,,,,,,,,,Injection,405 mg,Pain Relief,True,Headache,2025-03-18,,,,
M0062,Medicine 62,Medicines,,,11.002886531079039,,,,,,,,,,,,Injection,225 mg,Cold & Flu,False,Drowsiness,2027-08-03,,,,
E0116,LG Headphones,Electronics,,LG,1538.1625527487388,,,,,2018.0,,,,,,,,,,,,,,,,
E0039,Sony Gaming Console,Electronics,,Sony,1292.5708666017365,,,,,2022.0,,,,,,,,,,,,,,,,
F0072,Shirts Item 72,Fashion,Shirts,Zara,95.6931287354827,L,Black,Leather,Men,,,,,,,,,,,,,,,,,
G0047,Dairy Item 47,Groceries,Dairy,,22.76501344815371,,,,,,,,,,,,,,,,,,g,12.0,True,323.0
E0003,Apple Headphones,Electronics,,Apple,678.059541271672,,,,,2021.0,,,,,,,,,,,,,,,,
G0037,Meat Item 37,Groceries,Meat,,16.173774649663333,,,,,,,,,,,,,,,,,,g,12.0,False,342.0
G0017,Beverages Item 17,Groceries,Beverages,,42.40559962063302,,,,,,,,,,,,,,,,,,ml,100.0,True,196.0
M0035,Medicine 35,Medicines,,,34.04170290199641,,,,,,,,,,,,Syrup,870 mg,Digestive Health,False,Nausea,2025-09-10,,,,
E0005,Lenovo Laptop,Electronics,,Lenovo,764.6125174344247,,,,,2019.0,10.9,256.0,Exynos 2100,Windows,,2972.0,,,,,,,,,,
F0005,Accessories Item 5,Fashion,Accessories,Levi's,37.746523115003434,L,Purple,Polyester,Women,,,,,,,,,,,,,,,,,
F0086,Shoes Item 86,Fashion,Shoes,Under Armour,189.69373521096153,L,Purple,Silk,Women,,,,,,,,,,,,,,,,,
M0117,Medicine 117,Medicines,,,17.446388771794233,,,,,,,,,,,,Cream,183 mg,Diabetes,True,Nausea,2025-01-25,,,,
G0028,Dairy Item 28,Groceries,Dairy,,27.9672126630988,,,,,,,,,,,,,,,,,,l,250.0,False,158.0
E0071,Sony Smartphone,Electronics,,Sony,473.3252372168012,,,,,2018.0,55.0,1024.0,Snapdragon 888,iOS,24.0,2421.0,,,,,,,,,,
G0011,Dairy Item 11,Groceries,Dairy,,28.971842877659316,,,,,,,,,,,,,,,,,,pack,500.0,True,337.0
M0027,Medicine 27,Medicines,,,40.74179094431315,,,,,,,,,,,,Injection,520 mg,Cold & Flu,True,Headache,2026-07-03,,,,
M0044,Medicine 44,Medicines,,,28.403083488018677,,,,,,,,,,,,Injection,24 mg,Allergy,True,Nausea,2026-09-07,,,,
M0084,Medicine 84,Medicines,,,49.22126238177144,,,,,,,,,,,,Injection,138 mg,Diabetes,True,None,2025-12-13,,,,
F0078,Pants Item 78,Fashion,Pants,Adidas,364.29799147556156,XL,Red,Denim,Women,,,,,,,,,,,,,,,,,
E0084,Microsoft Tablet,Electronics,,Microsoft,967.9538286566568,,,,,2021.0,55.0,256.0,M1,Android,12.0,3961.0,,,,,,,,,,
E0053,Microsoft Gaming Console,Electronics,,Microsoft,696.6832331450217,,,,,2020.0,,,,,,,,,,,,,,,,
M0100,Medicine 100,Medicines,,,85.79080132949817,,,,,,,,,,,,Tablet,463 mg,Diabetes,True,Drowsiness,2026-05-24,,,,
M0108,Medicine 108,Medicines,,,20.84260554290574,,,,,,,,,,,,Capsule,922 mg,Fever,True,Nausea,2026-02-24,,,,
G0069,Vegetables Item 69,Groceries,Vegetables,,5.497102717087616,,,,,,,,,,,,,,,,,,l,500.0,False,123.0
M0054,Medicine 54,Medicines,,,12.175073172459253,,,,,,,,,,,,Syrup,211 mg,Heart Health,True,Drowsiness,2025-05-23,,,,
F0065,Pants Item 65,Fashion,Pants,Gucci,354.1753733294933,L,Green,Denim,Women,,,,,,,,,,,,,,,,,
E0011,Apple Laptop,Electronics,,Apple,360.987317340481,,,,,2019.0,27.0,128.0,Intel i7,iOS,,3958.0,,,,,,,,,,
G0107,Fruits Item 107,Groceries,Fruits,,7.927794156600669,,,,,,,,,,,,,,,,,,pack,250.0,False,107.0
G0104,Bakery Item 104,Groceries,Bakery,,34.51478136584193,,,,,,,,,,,,,,,,,,g,1000.0,False,333.0
E0098,Samsung Camera,Electronics,,Samsung,1705.4446219161925,,,,,2021.0,,,,,24.0,,,,,,,,,,,
F0111,Dresses Item 111,Fashion,Dresses,Under Armour,390.1774218766221,XXL,Blue,Cotton,Men,,,,,,,,,,,,,,,,,
G0034,Fruits Item 34,Groceries,Fruits,,20.850294674804978,,,,,,,,,,,,,,,,,,ml,1.0,True,252.0
E0097,Microsoft Tablet,Electronics,,Microsoft,872.1914194906354,,,,,2022.0,13.3,256.0,M1,macOS,64.0,3192.0,,,,,,,,,,
F0026,Dresses Item 26,Fashion,Dresses,Adidas,483.25996771571596,L,Black,Silk,Unisex,,,,,,,,,,,,,,,,,
F0123,Pants Item 123,Fashion,Pants,Under Armour,257.5066223145631,S,Black,Leather,Unisex,,,,,,,,,,,,,,,,,
E0007,Microsoft Gaming Console,Electronics,,Microsoft,426.03309742386097,,,,,2019.0,,,,,,,,,,,,,,,,
G0015,Meat Item 15,Groceries,Meat,,15.088048769804193,,,,,,,,,,,,,,,,,,g,12.0,True,81.0
F0066,Pants Item 66,Fashion,Pants,Levi's,35.49163996442898,XL,Black,Leather,Unisex,,,,,,,,,,,,,,,,,
M0085,Medicine 85,Medicines,,,84.9884351655315,,,,,,,,,,,,Cream,675 mg,Fever,True,Nausea,2024-12-02,,,,
M0125,Medicine 125,Medicines,,,55.164507655360936,,,,,,,,,,,,Capsule,253 mg,Diabetes,False,Headache,2026-08-05,,,,
G0056,Beverages Item 56,Groceries,Beverages,,45.087410842034714,,,,,,,,,,,,,,,,,,g,24.0,True,335.0
G0058,Fruits Item 58,Groceries,Fruits,,26.906658674318578,,,,,,,,,,,,,,,,,,g,500.0,False,166.0
M0057,Medicine 57,Medicines,,,72.33593016608462,,,,,,,,,,,,Injection,973 mg,Fever,True,Drowsiness,2026-10-19,,,,
E0042,Apple Headphones,Electronics,,Apple,909.3952869900135,,,,,2020.0,,,,,,,,,,,,,,,,
E0108,Samsung Gaming Console,Electronics,,Samsung,1536.765244802883,,,,,2021.0,,,,,,,,,,,,,,,,
F0045,Dresses Item 45,Fashion,Dresses,H&M,489.6842043687843,XL,Yellow,Cotton,Women,,,,,,,,,,,,,,,,,
F0090,Dresses Item 90,Fashion,Dresses,Adidas,255.14235415230803,M,Blue,Cotton,Men,,,,,,,,,,,,,,,,,
M0096,Medicine 96,Medicines,,,77.51301663974175,,,,,,,,,,,,Tablet,158 mg,Heart Health,True,Headache,2026-07-29,,,,
F0053,Accessories Item 53,Fashion,Accessories,H&M,296.35400157883413,XL,Purple,Silk,Women,,,,,,,,,,,,,,,,,
G0099,Fruits Item 99,Groceries,Fruits,,30.09054637552793,,,,,,,,,,,,,,,,,,g,500.0,False,115.0
G0012,Meat Item 12,Groceries,Meat,,46.9443492179372,,,,,,,,,,,,,,,,,,g,1000.0,True,118.0
E0077,Samsung Smartphone,Electronics,,Samsung,1104.4475475796237,,,,,2020.0,13.3,512.0,M1,iOS,48.0,3135.0,,,,,,,,,,
E0009,Lenovo Smartphone,Electronics,,Lenovo,219.9468274951363,,,,,2020.0,15.6,128.0,A14,iOS,108.0,2339.0,,,,,,,,,,
G0025,Vegetables Item 25,Groceries,Vegetables,,7.833061574052849,,,,,,,,,,,,,,,,,,l,100.0,False,72.0
M0008,Medicine 8,Medicines,,,56.970984137252,,,,,,,,,,,,Syrup,687 mg,Fever,False,Nausea,2027-04-03,,,,
F0083,Pants Item 83,Fashion,Pants,H&M,247.008503341929,XXL,Blue,Denim,Women,,,,,,,,,,,,,,,,,
E0040,Apple Laptop,Electronics,,Apple,1882.3218651794493,,,,,2020.0,55.0,128.0,Intel i5,Windows,,2616.0,,,,,,,,,,
F0097,Shoes Item 97,Fashion,Shoes,Under Armour,415.1652451149474,M,Green,Cotton,Unisex,,,,,,,,,,,,,,,,,
E0066,LG Camera,Electronics,,LG,326.8239215425739,,,,,2021.0,,,,,48.0,,,,,,,,,,,
G0005,Bakery Item 5,Groceries,Bakery,,23.188415458932013,,,,,,,,,,,,,,,,,,ml,250.0,True,156.0
M0036,Medicine 36,Medicines,,,32.1549376230239,,,,,,,,,,,,Injection,934 mg,Cold & Flu,False,Nausea,2026-05-17,,,,
E0120,Sony Camera,Electronics,,Sony,679.3159363316206,,,,,2019.0,,,,,108.0,,,,,,,,,,,
M0003,Medicine 3,Medicines,,,23.829595197374367,,,,,,,,,,,,Syrup,293 mg,Fever,False,None,2025-04-22,,,,
F0034,Dresses Item 34,Fashion,Dresses,Adidas,78.258145966878,L,Black,Denim,Men,,,,,,,,,,,,,,,,,
E0028,Canon Gaming Console,Electronics,,Canon,332.7459377353795,,,,,2020.0,,,,,,,,,,,,,,,,
E0063,Bose Gaming Console,Electronics,,Bose,836.6207941941128,,,,,2021.0,,,,,,,,,,,,,,,,
E0058,Apple Smartphone,Electronics,,Apple,138.04413649115648,,,,,2023.0,55.0,1024.0,Intel i7,Android,48.0,3359.0,,,,,,,,,,
E0022,LG Smartphone,Electronics,,LG,1739.552547670879,,,,,2022.0,13.3,128.0,Exynos 2100,iOS,24.0,3454.0,,,,,,,,,,
F0095,Shoes Item 95,Fashion,Shoes,Gucci,471.0311541073275,S,Red,Polyester,Men,,,,,,,,,,,,,,,,,
E0045,Samsung Laptop,Electronics,,Samsung,818.6265789623551,,,,,2019.0,27.0,1024.0,A14,Windows,,4491.0,,,,,,,,,,
M0115,Medicine 115,Medicines,,,51.59266418991525,,,,,,,,,,,,Tablet,434 mg,Pain Relief,False,Drowsiness,2025-07-27,,,,
E0019,Bose Camera,Electronics,,Bose,1648.636991284033,,,,,2018.0,,,,,16.0,,,,,,,,,,,
E0100,Dell Tablet,Electronics,,Dell,1991.470839230146,,,,,2022.0,5.5,256.0,Snapdragon 888,Windows,24.0,2989.0,,,,,,,,,,
E0121,LG Headphones,Electronics,,LG,665.9328569414014,,,,,2021.0,,,,,,,,,,,,,,,,
M0012,Medicine 12,Medicines,,,89.67482388261328,,,,,,,,,,,,Cream,311 mg,Pain Relief,True,Drowsiness,2026-07-10,,,,
M0011,Medicine 11,Medicines,,,33.397984259341655,,,,,,,,,,,,Cream,878 mg,Diabetes,True,Nausea,2027-01-10,,,,
G0046,Fruits Item 46,Groceries,Fruits,,21.04994678546594,,,,,,,,,,,,,,,,,,pack,24.0,False,171.0
F0018,Shirts Item 18,Fashion,Shirts,Zara,353.56066778366016,XL,Yellow,Polyester,Men,,,,,,,,,,,,,,,,,
M0049,Medicine 49,Medicines,,,81.84156120818871,,,,,,,,,,,,Cream,130 mg,Pain Relief,False,Drowsiness,2027-07-07,,,,
E0035,Dell Gaming Console,Electronics,,Dell,862.845460073265,,,,,2020.0,,,,,,,,,,,,,,,,
M0031,Medicine 31,Medicines,,,60.250939595726756,,,,,,,,,,,,Syrup,177 mg,Digestive Health,True,None,2026-02-03,,,,
G0112,Bakery Item 112,Groceries,Bakery,,41.78716104339349,,,,,,,,,,,,,,,,,,l,250.0,True,101.0
F0085,Shirts Item 85,Fashion,Shirts,Adidas,85.17231237065313,S,Red,Silk,Women,,,,,,,,,,,,,,,,,
F0116,Accessories Item 116,Fashion,Accessories,Gucci,269.7256462140666,XS,Green,Leather,Unisex,,,,,,,,,,,,,,,,,
E0115,Bose Laptop,Electronics,,Bose,1828.8673005034652,,,,,2021.0,55.0,64.0,Snapdragon 888,Windows,,2959.0,,,,,,,,,,
G0018,Dairy Item 18,Groceries,Dairy,,26.24318439094285,,,,,,,,,,,,,,,,,,pack,1.0,True,268.0
M0039,Medicine 39,Medicines,,,62.18822853257298,,,,,,,,,,,,Syrup,198 mg,Cold & Flu,False,Drowsiness,2026-08-02,,,,
E0117,Samsung Headphones,Electronics,,Samsung,1739.623284294735,,,,,2021.0,,,,,,,,,,,,,,,,
E0105,Microsoft Laptop,Electronics,,Microsoft,547.6176336648873,,,,,2022.0,6.7,256.0,M1,macOS,,3013.0,,,,,,,,,,
E0075,Dell Laptop,Electronics,,Dell,1272.6690315222368,,,,,2021.0,6.1,1024.0,Intel i5,Android,,3104.0,,,,,,,,,,
G0065,Meat Item 65,Groceries,Meat,,25.842981387024025,,,,,,,,,,,,,,,,,,g,12.0,True,64.0
F0092,Dresses Item 92,Fashion,Dresses,Adidas,206.16163552127153,M,Green,Denim,Men,,,,,,,,,,,,,,,,,
E0119,Dell Camera,Electronics,,Dell,652.6660230400067,,,,,2019.0,,,,,64.0,,,,,,,,,,,
E0054,Dell Gaming Console,Electronics,,Dell,1757.9891824232031,,,,,2019.0,,,,,,,,,,,,,,,,
G0122,Snacks Item 122,Groceries,Snacks,,32.96177452810387,,,,,,,,,,,,,,,,,,l,12.0,False,62.0
E0112,Apple Gaming Console,Electronics,,Apple,743.9950731620526,,,,,2023.0,,,,,,,,,,,,,,,,
E0052,LG Gaming Console,Electronics,,LG,1908.9186486141052,,,,,2021.0,,,,,,,,,,,,,,,,
F0039,Dresses Item 39,Fashion,Dresses,Under Armour,136.31145921995574,XS,Green,Leather,Women,,,,,,,,,,,,,,,,,
G0010,Vegetables Item 10,Groceries,Vegetables,,24.139094862054012,,,,,,,,,,,,,,,,,,pack,1000.0,True,198.0
M0086,Medicine 86,Medicines,,,50.923212469685396,,,,,,,,,,,,Capsule,31 mg,Fever,False,Drowsiness,2025-07-23,,,,
E0085,Microsoft Laptop,Electronics,,Microsoft,326.49984139708937,,,,,2019.0,43.0,512.0,Exynos 2100,Windows,,2476.0,,,,,,,,,,
G0027,Dairy Item 27,Groceries,Dairy,,43.48594893656842,,,,,,,,,,,,,,,,,,kg,250.0,False,255.0
M0055,Medicine 55,Medicines,,,79.72542972899312,,,,,,,,,,,,Capsule,328 mg,Digestive Health,True,None,2027-01-19,,,,
G0121,Snacks Item 121,Groceries,Snacks,,15.678259661129966,,,,,,,,,,,,,,,,,,pack,6.0,True,172.0
G0054,Fruits Item 54,Groceries,Fruits,,16.817679878944666,,,,,,,,,,,,,,,,,,ml,6.0,False,199.0
G0087,Meat Item 87,Groceries,Meat,,13.759752330607512,,,,,,,,,,,,,,,,,,l,24.0,False,328.0
M0104,Medicine 104,Medicines,,,12.921010108032156,,,,,,,,,,,,Syrup,782 mg,Allergy,False,Nausea,2025-10-16,,,,
G0051,Meat Item 51,Groceries,Meat,,24.24731079321153,,,,,,,,,,,,,,,,,,l,100.0,False,11.0
M0073,Medicine 73,Medicines,,,72.42957977127739,,,,,,,,,,,,Syrup,215 mg,Allergy,False,None,2027-03-24,,,,
F0114,Shirts Item 114,Fashion,Shirts,H&M,458.8081316304653,XL,Red,Leather,Men,,,,,,,,,,,,,,,,,
M0019,Medicine 19,Medicines,,,25.941599064798325,,,,,,,,,,,,Cream,615 mg,Cold & Flu,False,Nausea,2027-04-06,,,,
M0105,Medicine 105,Medicines,,,72.04710984851357,,,,,,,,,,,,Syrup,487 mg,Diabetes,True,Drowsiness,2027-01-16,,,,
G0091,Beverages Item 91,Groceries,Beverages,,40.829697605301135,,,,,,,,,,,,,,,,,,pack,100.0,False,326.0
G0066,Meat Item 66,Groceries,Meat,,9.359455106460572,,,,,,,,,,,,,,,,,,pack,500.0,False,3.0
G0084,Bakery Item 84,Groceries,Bakery,,10.028183927061036,,,,,,,,,,,,,,,,,,pack,250.0,True,232.0
G0001,Beverages Item 1,Groceries,Beverages,,30.68894394379467,,,,,,,,,,,,,,,,,,ml,250.0,True,63.0
G0070,Fruits Item 70,Groceries,Fruits,,27.420362896168015,,,,,,,,,,,,,,,,,,l,24.0,True,281.0
G0041,Meat Item 41,Groceries,Meat,,7.826654636524272,,,,,,,,,,,,,,,,,,l,250.0,False,152.0
E0088,Lenovo Camera,Electronics,,Lenovo,1342.194827136477,,,,,2023.0,,,,,64.0,,,,,,,,,,,
M0121,Medicine 121,Medicines,,,67.12945103492359,,,,,,,,,,,,Cream,187 mg,Heart Health,True,Drowsiness,2025-12-28,,,,
E0094,Samsung TV,Electronics,,Samsung,130.45349726473393,,,,,2021.0,6.1,,,,,,,,,,,,,,,
G0090,Meat Item 90,Groceries,Meat,,48.173896609195815,,,,,,,,,,,,,,,,,,l,6.0,False,153.0
M0058,Medicine 58,Medicines,,,77.60390181659257,,,,,,,,,,,,Tablet,201 mg,Allergy,True,Headache,2025-12-11,,,,
M0034,Medicine 34,Medicines,,,10.424002248438974,,,,,,,,,,,,Cream,321 mg,Heart Health,False,Headache,2027-03-20,,,,
F0043,Dresses Item 43,Fashion,Dresses,Gucci,437.4733360438593,L,Red,Cotton,Unisex,,,,,,,,,,,,,,,,,
M0038,Medicine 38,Medicines,,,91.1523248472844,,,,,,,,,,,,Tablet,823 mg,Digestive Health,True,Nausea,2025-12-03,,,,
F0014,Dresses Item 14,Fashion,Dresses,Levi's,267.3254081146979,S,Blue,Silk,Unisex,,,,,,,,,,,,,,,,,
E0080,Lenovo Headphones,Electronics,,Lenovo,169.7545926178266,,,,,2021.0,,,,,,,,,,,,,,,,
M0053,Medicine 53,Medicines,,,72.00885516844123,,,,,,,,,,,,Syrup,239 mg,Diabetes,False,Drowsiness,2027-04-28,,,,
E0015,Apple Headphones,Electronics,,Apple,1475.6554586685504,,,,,2018.0,,,,,,,,,,,,,,,,
M0089,Medicine 89,Medicines,,,97.89610088266927,,,,,,,,,,,,Injection,139 mg,Allergy,True,Headache,2026-10-28,,,,
M0120,Medicine 120,Medicines,,,5.854872441909299,,,,,,,,,,,,Tablet,192 mg,Allergy,True,Nausea,2026-09-07,,,,
E0037,Bose Camera,Electronics,,Bose,845.2138075237262,,,,,2018.0,,,,,64.0,,,,,,,,,,,
G0123,Vegetables Item 123,Groceries,Vegetables,,29.400239643221024,,,,,,,,,,,,,,,,,,pack,6.0,True,20.0
E0050,Canon Camera,Electronics,,Canon,253.81209861980744,,,,,2018.0,,,,,16.0,,,,,,,,,,,
G0120,Beverages Item 120,Groceries,Beverages,,13.600465204345696,,,,,,,,,,,,,,,,,,kg,1000.0,False,157.0
F0056,Shoes Item 56,Fashion,Shoes,Adidas,127.03412859776739,XL,Green,Leather,Women,,,,,,,,,,,,,,,,,
G0079,Vegetables Item 79,Groceries,Vegetables,,41.24171159826943,,,,,,,,,,,,,,,,,,l,6.0,False,358.0
G0118,Dairy Item 118,Groceries,Dairy,,47.68888506935863,,,,,,,,,,,,,,,,,,kg,6.0,True,100.0
G0023,Fruits Item 23,Groceries,Fruits,,13.781613052142356,,,,,,,,,,,,,,,,,,g,12.0,False,103.0
M0020,Medicine 20,Medicines,,,62.662446046055216,,,,,,,,,,,,Capsule,698 mg,Heart Health,True,Nausea,2027-01-19,,,,
M0116,Medicine 116,Medicines,,,91.52830093138763,,,,,,,,,,,,Capsule,400 mg,Diabetes,False,Drowsiness,2026-02-19,,,,
E0017,Samsung Tablet,Electronics,,Samsung,238.70682650929191,,,,,2020.0,5.5,512.0,M1,iOS,48.0,4365.0,,,,,,,,,,
M0063,Medicine 63,Medicines,,,56.68284670298468,,,,,,,,,,,,Tablet,442 mg,Heart Health,False,Drowsiness,2027-09-30,,,,
F0022,Shoes Item 22,Fashion,Shoes,Zara,322.1720855388106,M,Purple,Polyester,Men,,,,,,,,,,,,,,,,,
M0106,Medicine 106,Medicines,,,83.96835148354454,,,,,,,,,,,,Syrup,583 mg,Cold & Flu,True,Nausea,2025-08-10,,,,
G0063,Bakery Item 63,Groceries,Bakery,,4.688657115932008,,,,,,,,,,,,,,,,,,pack,6.0,True,128.0
G0020,Fruits Item 20,Groceries,Fruits,,18.000988568501707,,,,,,,,,,,,,,,,,,kg,24.0,True,271.0
M0030,Medicine 30,Medicines,,,76.1549066534709,,,,,,,,,,,,Tablet,560 mg,Diabetes,False,Drowsiness,2026-03-04,,,,
F0062,Shirts Item 62,Fashion,Shirts,Levi's,344.8299176875877,XXL,Purple,Polyester,Unisex,,,,,,,,,,,,,,,,,
F0044,Dresses Item 44,Fashion,Dresses,H&M,383.641678510012,S,Yellow,Silk,Men,,,,,,,,,,,,,,,,,
G0053,Dairy Item 53,Groceries,Dairy,,23.0141397648162,,,,,,,,,,,,,,,,,,l,100.0,False,70.0
M0109,Medicine 109,Medicines,,,90.74150091008055,,,,,,,,,,,,Tablet,923 mg,Cold & Flu,False,Headache,2026-08-27,,,,
G0111,Snacks Item 111,Groceries,Snacks,,2.911314617378088,,,,,,,,,,,,,,,,,,pack,100.0,True,336.0
M0046,Medicine 46,Medicines,,,34.39001339760122,,,,,,,,,,,,Syrup,165 mg,Pain Relief,False,Nausea,2024-12-24,,,,
E0049,Apple Smartphone,Electronics,,Apple,407.21965122057503,,,,,2023.0,32.0,128.0,Intel i5,iOS,64.0,2694.0,,,,,,,,,,
M0070,Medicine 70,Medicines,,,55.864266873589436,,,,,,,,,,,,Syrup,320 mg,Diabetes,True,Headache,2026-04-18,,,,
G0035,Dairy Item 35,Groceries,Dairy,,4.1406408407725985,,,,,,,,,,,,,,,,,,g,250.0,True,314.0
F0061,Shirts Item 61,Fashion,Shirts,Gucci,110.43982408469628,S,Purple,Silk,Women,,,,,,,,,,,,,,,,,
G0105,Fruits Item 105,Groceries,Fruits,,10.226823720938214,,,,,,,,,,,,,,,,,,ml,1000.0,False,310.0
G0068,Dairy Item 68,Groceries,Dairy,,41.98255029310957,,,,,,,,,,,,,,,,,,kg,500.0,False,46.0
